lat lon depth(km) vs(km/s) vp(km/s) den(g/cm^2)
33.600000 -124.647200 36.000000 4.591200 7.818767 3.227615 
33.600000 -124.647200 37.000000 4.591400 7.819958 3.228025 
33.600000 -124.647200 38.000000 4.592100 7.821830 3.228669 
33.600000 -124.647200 39.000000 4.592800 7.823192 3.229138 
33.600000 -124.647200 40.000000 4.593600 7.824383 3.229549 
33.600000 -124.647200 41.000000 4.594300 7.825405 3.229901 
33.600000 -124.647200 42.000000 4.595400 7.825745 3.230018 
33.600000 -124.647200 43.000000 4.596200 7.826256 3.230194 
33.600000 -124.647200 44.000000 4.596900 7.826596 3.230312 
33.600000 -124.647200 45.000000 4.597500 7.826426 3.230253 
33.600000 -124.647200 46.000000 4.597700 7.826426 3.230253 
33.600000 -124.647200 47.000000 4.598000 7.825915 3.230077 
33.600000 -124.647200 48.000000 4.598200 7.825405 3.229901 
33.600000 -124.647200 49.000000 4.598100 7.824724 3.229666 
33.600000 -124.647200 50.000000 4.598100 7.823873 3.229373 
33.600000 -124.647200 51.000000 4.597800 7.823192 3.229138 
33.600000 -124.647200 52.000000 4.597500 7.822511 3.228904 
33.600000 -124.647200 53.000000 4.597100 7.822001 3.228728 
33.600000 -124.647200 54.000000 4.596600 7.821830 3.228669 
33.600000 -124.647200 55.000000 4.596200 7.821320 3.228494 
33.600000 -124.647200 56.000000 4.595800 7.821320 3.228494 
33.600000 -124.647200 57.000000 4.595500 7.821490 3.228552 
33.600000 -124.647200 58.000000 4.595400 7.821660 3.228611 
33.600000 -124.647200 59.000000 4.595100 7.822341 3.228845 
33.600000 -124.647200 60.000000 4.595100 7.823362 3.229197 
33.600000 -124.647200 61.000000 4.595200 7.824724 3.229666 
33.600000 -124.647200 62.000000 4.595300 7.825915 3.230077 
33.600000 -124.647200 63.000000 4.595700 7.828128 3.230840 
33.600000 -124.647200 64.000000 4.596300 7.830171 3.231544 
33.600000 -124.647200 65.000000 4.597100 7.832724 3.232425 
33.600000 -124.647200 66.000000 4.597800 7.835447 3.233365 
33.600000 -124.647200 67.000000 4.599100 7.838341 3.234364 
33.600000 -124.647200 68.000000 4.600300 7.841745 3.235540 
33.600000 -124.647200 69.000000 4.601800 7.845490 3.236835 
33.600000 -124.647200 70.000000 4.603400 7.849064 3.238072 
33.600000 -124.647200 71.000000 4.605100 7.853149 3.239486 
33.600000 -124.647200 72.000000 4.607100 7.857404 3.240961 
33.600000 -124.647200 73.000000 4.609300 7.861830 3.242495 
33.600000 -124.647200 74.000000 4.611400 7.866766 3.244208 
33.600000 -124.647200 75.000000 4.613800 7.871532 3.245864 
33.600000 -124.647200 76.000000 4.616300 7.876638 3.247639 
33.600000 -124.647200 77.000000 4.618900 7.881744 3.249416 
33.600000 -124.647200 78.000000 4.621800 7.887191 3.251313 
33.600000 -124.647200 79.000000 4.624600 7.892978 3.253330 
33.600000 -124.647200 80.000000 4.627600 7.898255 3.255171 
33.600000 -124.647200 81.000000 4.630600 7.904042 3.257193 
33.600000 -124.647200 82.000000 4.633800 7.909829 3.259216 
33.600000 -124.647200 83.000000 4.637200 7.916127 3.261421 
33.600000 -124.647200 84.000000 4.640300 7.921744 3.263389 
33.600000 -124.647200 85.000000 4.643700 7.927701 3.265478 
33.600000 -124.647200 86.000000 4.647100 7.933829 3.267630 
33.600000 -124.647200 87.000000 4.650800 7.940296 3.269903 
33.600000 -124.647200 88.000000 4.654100 7.946594 3.272119 
33.600000 -124.647200 89.000000 4.657600 7.952552 3.274218 
33.600000 -124.647200 90.000000 4.661200 7.959020 3.276499 
33.600000 -124.647200 91.000000 4.665000 7.965658 3.278842 
33.600000 -124.647200 92.000000 4.668700 7.971956 3.281068 
33.600000 -124.647200 93.000000 4.672200 7.978594 3.283416 
33.600000 -124.647200 94.000000 4.676000 7.984721 3.285587 
33.600000 -124.647200 95.000000 4.679900 7.991360 3.287940 
33.600000 -124.647200 96.000000 4.683600 7.997998 3.290297 
33.600000 -124.647200 97.000000 4.687500 8.004466 3.292595 
33.600000 -124.647200 98.000000 4.691100 8.010763 3.294835 
33.600000 -124.647200 99.000000 4.695000 8.017572 3.297260 
33.600000 -124.647200 100.000000 4.698900 8.024040 3.299566 
33.000000 -124.347200 0.000000 0.000000 1.500000 1.290000 
33.000000 -124.347200 1.000000 0.000000 6.101007 2.738688 
33.000000 -124.347200 2.000000 0.000000 6.230197 2.767951 
33.000000 -124.347200 3.000000 0.000000 6.402279 2.808846 
33.000000 -124.347200 4.000000 0.000000 6.586787 2.855148 
33.000000 -124.347200 5.000000 3.584400 6.769762 2.903578 
33.000000 -124.347200 6.000000 3.660300 6.946951 2.952844 
33.000000 -124.347200 7.000000 3.761400 7.114608 3.001574 
33.000000 -124.347200 8.000000 3.869800 7.268988 3.048229 
33.000000 -124.347200 9.000000 3.977300 7.407369 3.091470 
33.000000 -124.347200 10.000000 4.081400 7.527027 3.129917 
33.000000 -124.347200 11.000000 4.179900 7.627280 3.162867 
33.000000 -124.347200 12.000000 4.270600 7.707790 3.189803 
33.000000 -124.347200 13.000000 4.351900 7.769916 3.210875 
33.000000 -124.347200 14.000000 4.422200 7.815873 3.226619 
33.000000 -124.347200 15.000000 4.481100 7.847532 3.237542 
33.000000 -124.347200 16.000000 4.528400 7.868127 3.244681 
33.000000 -124.347200 17.000000 4.564900 7.879532 3.248645 
33.000000 -124.347200 18.000000 4.591900 7.883787 3.250127 
33.000000 -124.347200 19.000000 4.610500 7.882936 3.249830 
33.000000 -124.347200 20.000000 4.622600 7.879191 3.248527 
33.000000 -124.347200 21.000000 4.629300 7.873064 3.246396 
33.000000 -124.347200 22.000000 4.631800 7.865915 3.243913 
33.000000 -124.347200 23.000000 4.631300 7.858766 3.241433 
33.000000 -124.347200 24.000000 4.629100 7.851787 3.239015 
33.000000 -124.347200 25.000000 4.625500 7.844979 3.236659 
33.000000 -124.347200 26.000000 4.621300 7.839532 3.234776 
33.000000 -124.347200 27.000000 4.617100 7.835107 3.233247 
33.000000 -124.347200 28.000000 4.613000 7.831362 3.231955 
33.000000 -124.347200 29.000000 4.609000 7.828128 3.230840 
33.000000 -124.347200 30.000000 4.605800 7.825575 3.229960 
33.000000 -124.347200 31.000000 4.603200 7.823362 3.229197 
33.000000 -124.347200 32.000000 4.601000 7.821320 3.228494 
33.000000 -124.347200 33.000000 4.599100 7.819447 3.227849 
33.000000 -124.347200 34.000000 4.597600 7.817064 3.227029 
33.000000 -124.347200 35.000000 4.596300 7.814171 3.226033 
33.000000 -124.347200 36.000000 4.595100 7.810426 3.224746 
33.000000 -124.347200 37.000000 4.594000 7.805660 3.223109 
33.000000 -124.347200 38.000000 4.592600 7.800214 3.221239 
33.000000 -124.347200 39.000000 4.590900 7.793065 3.218788 
33.000000 -124.347200 40.000000 4.588700 7.784384 3.215817 
33.000000 -124.347200 41.000000 4.585900 7.774512 3.212443 
33.000000 -124.347200 42.000000 4.582700 7.762597 3.208380 
33.000000 -124.347200 43.000000 4.578500 7.749491 3.203920 
33.000000 -124.347200 44.000000 4.573400 7.734683 3.198894 
33.000000 -124.347200 45.000000 4.567600 7.717662 3.193135 
33.000000 -124.347200 46.000000 4.560600 7.699109 3.186879 
33.000000 -124.347200 47.000000 4.552900 7.679024 3.180131 
33.000000 -124.347200 48.000000 4.544200 7.657578 3.172954 
33.000000 -124.347200 49.000000 4.534200 7.634259 3.165185 
33.000000 -124.347200 50.000000 4.523300 7.609578 3.157000 
33.000000 -124.347200 51.000000 4.511500 7.583877 3.148520 
33.000000 -124.347200 52.000000 4.498900 7.556813 3.139637 
33.000000 -124.347200 53.000000 4.485200 7.528729 3.130471 
33.000000 -124.347200 54.000000 4.470700 7.499963 3.121137 
33.000000 -124.347200 55.000000 4.455600 7.470347 3.111584 
33.000000 -124.347200 56.000000 4.439700 7.440390 3.101983 
33.000000 -124.347200 57.000000 4.423200 7.409922 3.092280 
33.000000 -124.347200 58.000000 4.406300 7.379284 3.082587 
33.000000 -124.347200 59.000000 4.388900 7.348817 3.073012 
33.000000 -124.347200 60.000000 4.371300 7.318349 3.063501 
33.000000 -124.347200 61.000000 4.353400 7.288392 3.054212 
33.000000 -124.347200 62.000000 4.335400 7.258776 3.045091 
33.000000 -124.347200 63.000000 4.317500 7.230180 3.036342 
33.000000 -124.347200 64.000000 4.299600 7.202436 3.027909 
33.000000 -124.347200 65.000000 4.282000 7.175883 3.019890 
33.000000 -124.347200 66.000000 4.264600 7.150352 3.012225 
33.000000 -124.347200 67.000000 4.247800 7.126352 3.005064 
33.000000 -124.347200 68.000000 4.231500 7.103714 2.998346 
33.000000 -124.347200 69.000000 4.215900 7.082949 2.992216 
33.000000 -124.347200 70.000000 4.200900 7.063715 2.986567 
33.000000 -124.347200 71.000000 4.186800 7.046524 2.981539 
33.000000 -124.347200 72.000000 4.173500 7.031035 2.977028 
33.000000 -124.347200 73.000000 4.161300 7.017758 2.973175 
33.000000 -124.347200 74.000000 4.150000 7.006695 2.969975 
33.000000 -124.347200 75.000000 4.139900 6.997503 2.967322 
33.000000 -124.347200 76.000000 4.130800 6.991035 2.965459 
33.000000 -124.347200 77.000000 4.123000 6.986269 2.964089 
33.000000 -124.347200 78.000000 4.116500 6.983887 2.963404 
33.000000 -124.347200 79.000000 4.111100 6.983887 2.963404 
33.000000 -124.347200 80.000000 4.107300 6.985929 2.963991 
33.000000 -124.347200 81.000000 4.104500 6.990865 2.965410 
33.000000 -124.347200 82.000000 4.103100 6.997333 2.967273 
33.000000 -124.347200 83.000000 4.103100 7.006524 2.969925 
33.000000 -124.347200 84.000000 4.104300 7.017758 2.973175 
33.000000 -124.347200 85.000000 4.107200 7.031205 2.977078 
33.000000 -124.347200 86.000000 4.111000 7.046524 2.981539 
33.000000 -124.347200 87.000000 4.116400 7.064055 2.986666 
33.000000 -124.347200 88.000000 4.123000 7.083630 2.992417 
33.000000 -124.347200 89.000000 4.130900 7.105246 2.998799 
33.000000 -124.347200 90.000000 4.139900 7.128565 3.005722 
33.000000 -124.347200 91.000000 4.150200 7.153756 3.013245 
33.000000 -124.347200 92.000000 4.161700 7.180819 3.021377 
33.000000 -124.347200 93.000000 4.174400 7.209585 3.030077 
33.000000 -124.347200 94.000000 4.188100 7.239882 3.039304 
33.000000 -124.347200 95.000000 4.202900 7.271882 3.049120 
33.000000 -124.347200 96.000000 4.218800 7.305583 3.059535 
33.000000 -124.347200 97.000000 4.235700 7.340306 3.070349 
33.000000 -124.347200 98.000000 4.253500 7.376561 3.081728 
33.000000 -124.347200 99.000000 4.272300 7.414348 3.093685 
33.000000 -124.347200 100.000000 4.292100 7.453155 3.106067 
33.300000 -124.347200 0.000000 0.000000 1.500000 1.290000 
33.300000 -124.347200 1.000000 0.000000 6.148155 2.749226 
33.300000 -124.347200 2.000000 0.000000 6.289089 2.781699 
33.300000 -124.347200 3.000000 0.000000 6.473427 2.826399 
33.300000 -124.347200 4.000000 0.000000 6.659977 2.874220 
33.300000 -124.347200 5.000000 3.612100 6.833761 2.921105 
33.300000 -124.347200 6.000000 3.694900 6.993759 2.966243 
33.300000 -124.347200 7.000000 3.803200 7.141331 3.009529 
33.300000 -124.347200 8.000000 3.912800 7.276818 3.050640 
33.300000 -124.347200 9.000000 4.014900 7.400901 3.089419 
33.300000 -124.347200 10.000000 4.108900 7.511197 3.124775 
33.300000 -124.347200 11.000000 4.195600 7.607706 3.156381 
33.300000 -124.347200 12.000000 4.275200 7.690769 3.184074 
33.300000 -124.347200 13.000000 4.348100 7.759704 3.207394 
33.300000 -124.347200 14.000000 4.412900 7.815873 3.226619 
33.300000 -124.347200 15.000000 4.469600 7.860638 3.242082 
33.300000 -124.347200 16.000000 4.518400 7.895021 3.254043 
33.300000 -124.347200 17.000000 4.558900 7.920552 3.262971 
33.300000 -124.347200 18.000000 4.591900 7.938254 3.269185 
33.300000 -124.347200 19.000000 4.618200 7.949998 3.273318 
33.300000 -124.347200 20.000000 4.638400 7.956807 3.275718 
33.300000 -124.347200 21.000000 4.653400 7.959190 3.276559 
33.300000 -124.347200 22.000000 4.663800 7.958509 3.276319 
33.300000 -124.347200 23.000000 4.670700 7.954764 3.274998 
33.300000 -124.347200 24.000000 4.674700 7.949318 3.273079 
33.300000 -124.347200 25.000000 4.676100 7.941999 3.270502 
33.300000 -124.347200 26.000000 4.675700 7.933999 3.267690 
33.300000 -124.347200 27.000000 4.673500 7.924637 3.264404 
33.300000 -124.347200 28.000000 4.670300 7.914425 3.260825 
